class,review_title
2,How sexy is an ancient Carpathian warrior??
2,Handy Dandy
2,"Good Product, bad box."
2,Added to the collection
1,Mindless drivel
1,"Definitely not for ""newbies"""
2,"Fun, but a third person voice"
2,"Nicely made, but didn't know top hole has drop to lower hole."
2,"High Price, but High Quality"
1,Footloose
1,Would Return Item if it didn't cost me money
1,Too Noisy!!!
2,Perfect For Anyone!
2,Good Book
1,Thank god some plants only live a summer
1,Crash's Law Crashes
2,The Perfect Pairing
2,Great Find
1,Save your money !!
2,quality american craftsmanship????
2,LOOKING OUT FOR #1
1,Corrupt
1,Save your money
2,Superb book
2,a guilty pleasure
1,Not For the Professional Cook
1,Worthless
2,"For the price, this is the best"
2,"Awesome, just awesome"
2,Great book
1,Don't waste your time - nothing new here
1,Can I give this book a
2,a vision of humanity
2,Diary of St. Faustina
1,CANNOT BELIEVE THIS WAS PUBLISHED
2,They're Leaving Home
1,"This book and wine, go together."
2,"Shakespeare ""King henry IV Part 1 with notes."""
2,Great Game!
1,Wishful thinking
1,Awful!!
2,Cant wait
2,Looks & works great!
1,only worked for one season
2,God Bless British Comedy
1,rotten.com
1,Not as it should be
2,Damn Tight
1,Frustrating!!!
2,The beginning to an addictive series of books
1,Armageddon 2003
1,Caller ID Display Failure
1,"cheap, flimsey don't buy it"
1,Seams split
1,Ehh
1,pretty forgettable
1,"Save Your Money, Skip this one."
2,Everyone loves it ! A true classic !!!!!!
2,Best Prep Out There!
2,Very helpful in passing the PMP Exam
2,wonderful
1,Not a Match for Peg Perego
2,"Beautiful books, but not for casual reading"
1,Terrible!
2,Awesome Book
1,"Doesn't get carried correctly, chewed in 1 day"
1,Overly fragile
1,I Didn't Expect a Whole Lot for the Price.
1,It broke in a few months
2,Great value choice brake rotor
2,surprisingly awesome
2,Ghosts-Hans Holzer
2,Fantastic blueprint from anti-Nazi into the Treblinka Kommendant - Relevant Today!
1,Bad really bad!
2,WHY NOT ON KINDLE???
2,Bootie Kendra
1,"Initially strong, intriguing effort... spoiled by weak, vapid ending"
1,This movie is absolutely terrible.
1,BEWARE: No cards only book.
2,This is Kitaro!
1,Buyers beware... it BADLY scratched my NEW TV!!!
2,About time for a decent actor's scene book!
2,Simply Useful
2,Mason-Dixon Christmas
2,Tops
2,Chabad Crash Course
1,Magellan GPS Companion for Handspring Visor
2,Giving it a try
1,dvd
2,Addictive
2,Natural relaxation
1,As a dancer.....
1,This book should have been e-published
2,COUPON ORGANIZER
1,Did not work
2,"Sexy, inventive fetish stories of all kinds"
2,Pretty Good
1,average
1,Short-lived joy
2,Positively Reassuring
1,Better than the past couple but still not up to snuff
1,Extremely difficult game
1,Fabrications
2,Enjoyed it........
1,Bookmans is the WORST
1,Don't waste your money...
2,great music
1,Cuts well but engine doesn't last
1,Useless
2,Got it for mini revo
1,Useless Junk That Does Not Work & Smells Terrible - Seriously PU!
2,A great study guide
1,Try Pharoah's Army and Wicked Spring instead.
2,Amazing but watch past the first 15 minutes.
1,Horrible
1,"Not all bad, but pretty ""Earthy-crunchy"""
1,Mediocre at best
1,Complete pile of junk
1,old part
1,"It's a Dramatization and the reviews are of something else, caution"
1,Where did they get the tab?
2,Simply Divine
1,almost useless
2,Koffi Means Business!
1,Not worth the money....
1,Disappointing - unrealistic play
2,What they dont teach you in any university
2,Good Starting Point and Quick Reference
1,"From concentrate, tastes awful!"
2,love the smell
2,No more being left behind!
1,expected better
1,Poor technique ruins the music
2,"Goes Beyond ""Basic"" Pilates"
1,Awful!
2,Does the Job
2,Actually good horror movie that will make you jump
2,pretty good
1,Lardo's Folly
2,Overall great
1,This book was not what I expected it to be.
1,A DUMB PHOTO BOOK OF ORDINARY JAPANESE PEOPLE
2,Mickey Mote
1,Books made of paper are cheaper... why?
2,learning about chinese culture
1,Not helpful at all
1,YOU WILL NEVER RECEIVE IT !!!!!!
1,"Shipping was ""misrouted by the shipper"" per USPS"
1,disappointed!
2,"If you need it, it's exactly what you need."
2,more timely than ever!
2,Pretty good
1,not a true story
1,Horrible Printer
1,What a piece of crap!
2,Good buy
2,Swing arm review
1,Not worth it
1,Too Outdated
2,An excellent Essay
2,Replacing the original vinyl album
2,BUY THE 50TH ANNIVERSARY EDITION! THE GRINCH IS GREEN AGAIN!
2,Good & instructive yoga routine
1,WILL NOT WORK IN WINDOWS 7
2,Super Versatile Grill
2,"Sizzling, concentrated conservative ideas...no sugar added"
1,Be Prepared
1,Don't waste your time
1,Skip it. The authors don't know jack.
1,The worst of Thomas Cook books
1,Eyewitness: Rockand Mineral
2,Very Satisfied
1,TRY AND DE-CYPHER THIS ONE
2,Storytime Princess Castle Playset
1,Disappointed
2,I wish Celestial Seasonings would bring this back!
2,Korea: The Unmapped Story
2,There's Still Hope for Progressive Music in the year 2002
1,bit set
1,"The bad news is, it's short....."
2,great
1,Tedious
1,Two stars tops
2,I grew Up with this Disney Movie
1,Suction cups suck... in a bad way.
2,Modern Quest ideal for adolescent readers
1,do not recommend
1,Don't expect a quality product
2,Good product
2,Christmas with family
1,Dangerous POS hurt my baby.
2,easy
1,Did not work for my 15 month old baby
1,Sorry is right! Where's Ruben?
2,Better than chocolate
2,Great at any price
2,Hey it's cheap and works great for the money!
1,Confusing and Pointless
1,Not worth it.
2,Awsome mini cds
1,Worst book I ever had to read
1,"Flimsy, Bad Wood"
2,"Beautiful Book, one of the best I've read this year"
1,DO NOT BUY
1,Seth Rogen finally over?
2,Franklin HW 216 Homework Wiz Plus
1,2010 or When Pigs Fly !!!
1,traxxas rustler
2,My dad got me into it
2,Truly Star Wars at its best! One of the best SW books ever.
2,This Book Was Great
2,One of the best books by Avi
2,Radio Control Foam Modeling - Advancing the Hobby Skills
2,Musical Prodigy
1,Definitly my least favorite in the series.
1,Absence of Tamarind in Canh Chua recipe!
2,This book is actually ' Present of the Past'
1,Not a secure case
1,What alarm?!
1,"Insight into the author, not the subject."
1,A typical vanity picture
1,No good
1,A bit dissapointing.
2,Creamy & tart
2,Love is the meaning of life. Life is the meaning of love.
1,rough and pills
1,Boring
1,Training techniques of dogs so unbelievable book not of any value
1,Solidly boring
1,frustrating
1,Sex sells
1,"Incredibly boring, but effective workout"
1,:-/
1,Ineffective
2,Perfectly gentle and child-sized :)
1,This kid is in first grade????
2,instant classic
1,Read the title
1,"Peice, correction: peices of crap"
2,Mistletoe Murder by Leslie Meier
1,Not impressed
1,"Not as sadistic as the first book, but still . . ."
1,It's not worth buying this one by itself
1,"Horrible, horrible, horrible..."
1,One too many alcohol scenes...
1,Dense!
1,1 star is 1 star too much!
2,I am for this movie!
2,delicious popcorn
2,Absolutely Terrific!
1,Heating defective
1,Not Worth Watching Even If It Came On T.V!!!!!!!!!!!!!!
2,Boy's For pele is the most enchanting Tori Amos CD..
1,"Bad novel, worse editing"
1,larger
2,"still the best studio recording of ""La Traviata"""
1,Overblown
2,"Works well,,,But"
1,Did not work as advertised
1,Unexpectedly bad!
1,this game will turn your kids into serial killers
1,"Not another 1 track CD, tosh."
1,Smelly
2,Great bibs
2,Great documentary
1,PIECE OF GARBAGE
1,broken gear box
2,Political thriller
2,Great album
2,Best One!
1,"Puerile story, sophomoric prose"
2,"Wonderful, but insufficient"
1,"Extends Range Indeed, but works poorly. No replacement if unit goes bad"
1,Mars Snacks
2,"Cinderella, a fairy tale Illustrated by Loek Koopmans"
1,Dead Battery
2,Beautiful
2,kent hughes
2,A strange film with a haunting soundtrack
1,"Average shave, high consumables cost"
2,great product
2,It is the best movie ever
1,Warning: subtitles cannot be turned off
2,Love!
2,Read this book and recommend this to every woman you know!
1,more nozzle options needed
1,Disappointing
2,great
1,So BAD.
2,Beautiful Watch
1,"Oh my, the downfall."
1,BEWARE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1,What was the plot about again?
2,"Good gloves, especially once you break them in"
2,The Beginning
1,I don`t do tittles
2,"Excellent, but way overpriced for its size"
1,Not the best
1,Dimension off of the wall is incorrect
1,So Obvious!!
2,Finally! Someone takes on the Mutual Fund Industry!
1,Broke on first day...Christmas day...
1,Understanding Today's Electricity Business
2,Excellent Tool Belt
1,Wrong Director for this one!
1,SanDisk Contour is Much to Large
1,His recipes just don't work
1,Pop-out bottom slips and doesn't work well for liquidy tarts
2,Do not be expecting this to be a sequel
2,"Great Book, Must read!"
1,Not so great
2,"Not the ""complete"" season"
1,Plastic shoe horns
1,"Quickly sticky, very fragile"
2,incy wincy spider by ken
2,Life put into perspective
1,Taschen 25 edition is 100 pages shorter than 1999 edition
1,Steigenhoffer is correct.. It reads like a draft.
1,Difficult switching mechanism
1,disappointed
1,Waste of money
2,Better than my old alarm
2,Time Traders
2,Great Series
1,nothing to get excited about.
2,More Hitchcock in High Definition!!
2,Excellent
2,great math aide
1,Outdated pamphlet from an outdated firm
2,Great printer
1,WASTE OF TIME
1,ET the movie
2,"Thick Pages, Thick With Information"
1,Dangerous for kids
1,Tedious and Insipid
1,The digital copy is expired
2,An EXCELLENT toy!
2,Life is good because these kind of books
1,No size descriptions
2,Wicked!!
2,Good book to prepare for PMP test
2,Natural History for the head and the heart
2,Wanted a Sinkmaster--Settled for a Waste King
1,mold factory
2,Helps make sense of the nonsensical
1,Tastes like Cough Syrup
2,Great sequel!
2,Great for the price!
2,I love the Kindle
2,"Been waiting a while, but it was worth it!"
1,Spatula arrived with a piece of the tip missing.
1,Pictures are not of the Pharmium Model
2,A True Learning Experience
1,Dangerous!!!!!!
2,Excellent way to learn all history
2,Very Useful Tool!!
1,Not made in USA
1,Defective dvd
1,Not your Grandpas B&D
1,Not CCIE stuff
1,JUNK
1,Wrong picture & specs
2,A must have device!
2,Really enjoyed Pilgrim's Progress: Journey to Heaven
1,"It's ""Corporate Socialism"" ... not Capitalism."
2,The BEST
2,GIVE THE AUTHOR A BREAK!
1,This Bicycle is Complete Garbage
1,Falls short of the hype
1,The cake didn't have the expected shape when baked
1,am not allowed to send back
2,Just as promised
1,Good but not as good as Trance to the Sun
1,Disappointed
2,Explians what and why your dog does what he does.
1,This is the worst computer book I ever bought!
1,don't waste your money
1,Lame
1,It's too small to see easily.
1,Filthy language
2,good
2,my favorite juicer
2,Andy williams
1,NOT dishwasher freindly!
2,yankee candle
2,Exactly as described
1,Does nothing but dirty
2,gross
2,For the price...
1,NFL Blitz 2000
1,Cuisinart Popcorn Maker
1,I used it for the wrong reason
1,Quit half way through.
1,Worthless
1,Dated.
2,5 stars for B5!!!
2,Incredibly Funny and HeartWarming
2,Gorgeous book
2,The Yellow Wallpaper
2,Porn for gore hounds
1,Huh?
2,perfect and imperfect sagas
2,entertaining
2,"Hey, I'm giving you five stars"
2,Great teacher gift
1,5th Quarter
1,Why have the rules changed?
1,The beginning of the end
1,Never have I ever read
2,Nice key storage solution
2,Couldn't put it down!
1,Might as well use a Ziploc bag!
1,Can't Hear It
2,A Homeschool Classic...should be read by everyone
1,Panasonic Lumix Battery - NOT!
1,Let's be reasonable.
1,Little Value for Experienced Palm Users
1,Don't Bother!
2,One of My All-Time Favorites
1,Worst racing game ever!!!
1,crummy quailty
1,The way of Zen
1,Quality is declining
2,Disney Print Creations: Movie Collection
1,BEWARE. May be very uncomfortable to use.
2,Great product!
2,My best friend when I suffered from PUPPP
2,Good for what it was.
2,very helpful
2,classic
2,Very comfortable notebook laptop accessory
2,Good Buy
2,THE BEST OF ROMANCE MEETS EROTICA
1,It doesn't fit
1,Dewalt Nibblers
1,Was broken by 9 months
2,Oh my God! What did he just say?
2,True Calling's Back In 2005!
1,HARD TO CLEAN!
1,Not jazz at all.
1,Very disappointing
1,Welcome to 1995!
1,A different opinion
1,Blah
2,Great Goggles
1,Don't Bother
1,Fast forward review
1,An Apt Title
2,Didn't consider anything else
1,listen to more music before you rave about EveryLittleThing
1,Music OK But Second Disc is Blank
2,Britney's Best Yet
1,Did Not Work for My Camera
1,Junk
2,Rachel Gibson Does it Again....
2,I am a first time PC builer
1,Dull!
2,Gel Petals
2,Great for a quick read!!
1,Interesting but...
1,Train set
1,"Wrong year, right book"
2,Cant't get enough of these stores by L'Amour
2,wireless mouse Microsoft 3000
2,Absolutely Essential Listening--The Rosetta Stone
2,Photo printer
1,Bleah!
1,Not very good!
1,"The horror, the horror...."
2,Japanese anime(moving manga) is good translation.
2,IS THERE A BETTER VOCALIST THAN MICK HUCKNALL? I DON'T THINK SO
2,Great
2,Imaginative and sexy
2,Roy Rocks
2,Great resource for those terms to know
2,A reality that should be shared
2,it's a pump
2,"Great CD, wish the MP3 download had the 4 extra songs!"
2,Witty and Engaging - and Something New
1,Absolute Garbage
2,Moisturizing with a refreshing scent
1,Terrible
2,You will laugh and cry
2,Excellent deck flashing.
2,A most authoritative book
2,Great buy for financial classes
1,I wouldn't be watching if not for season 1 & 2
2,"While not true to the books, an extremely fun movie."
2,Pretty Good
1,My Son a Hanuman Fan Hated This One
2,Paul's Back from the Dead
2,Awesome singles!!
2,An amazing study of issues critical to bibliophiles
1,DONT buy it
1,Don't waste your money
1,DON'T BUY IT.
2,Great Movie
2,Thismism a wonderful record
1,Ouch!
2,nothing new but it was amusing...
1,Really?
2,Had for years without a problem
1,This is not up to Sony's Standards
2,Captivating
1,piss poor
1,Horrible Phone
1,Eh...not so great
1,"Even with gentle use, it didn't last two weeks"
1,Be Cautious
1,Comng to our Senses
2,kids love them
1,Not what I expected
2,funniest sexies movie
1,Disney used to mean something.
1,Coating Peeled Off
2,Superman's Greatest Foe
1,I didn't quite suffer too much but........
1,Digital Research's LS-120 is a flop
2,Great Holocaust Memoir
2,A book worth owning
2,Excellent sequel.
2,"""That Dance Artist you Can't Remember or ever Forget"""
1,bad format great book
1,five mile creek 20
1,Poor Quality Docking Station
2,Vince's BEST album
2,The Best Series I have Ever Seen!
1,inferior to the first volume
1,new copier cartridge light on ink
1,BenReader
2,asome
2,"The ""Noman Rockwell"" of children's picture books!"
1,Not worth the time
2,Love it as is!
2,Kisses & Hugs are only a part of a Mother's rewards.
1,Nothing like the original
1,Cheap but poor quality
2,fever 1793
2,Great Lamp for the Price
1,Horrible
1,Not all that it's made out to be
1,Do not buy conexant
2,A Comprehensive Textbook
2,I GIVE IT 6 STARS!
1,Dont buy from them unless you live by Hong Kong!
2,Insta-Classic
1,Hypocrits
1,5.5 ASP is a poor pump for fountain
2,Excellent movie!
1,Published for eagles
1,"very, very disappointing"
2,Bigger is Better
2,Release - Unconventional . . . a release of beautiful music
2,Dora Castle
1,Purpose driven life for born agains
1,"A ""Best Of"" No-No"
1,"worst kitsch since ""memnoch the devil"""
1,An unendurable noodlefest
1,Always buy new
1,I'd give it zero stars if that was an option
2,Truth is stranger than fiction
2,Great Information -- And Read the Reviews Too
2,Roof Top
2,HILARIOUS AND FLUFFY
2,More than worthwhile
2,It might have been the heat...
1,Ended Up Giving It Away
2,DVD
1,Does the author have children?
2,Gurus back
1,Where is multiplayer support!
2,A marvelous story about a Tuskegee Airman.
1,What a disappoiontment!
1,Garmin mapsource topo us 2008
1,Uneven Quality Control
1,UCK
2,Too intense
1,It sheds
1,Cherry Valley Lighthouse Bird Feeder
2,Colleen - Colleen Et Les Botes À Musique
1,Do not waste your money
1,Pointless flick
2,Where In The World Is Carmen Sandiego?
2,"Satisfied with the book, The Death of Manolete"
2,super cute!!!!!!!
1,Nothing wrong with the plane.
1,Interactive but not much of activity ..
1,Don't buy it
2,"not so great, but worth a read"
1,Don't Bother with this
2,How else can you explain the impact of war on the participants except
1,It's not worth it
2,A very wonderful book
1,"Unfortunately, I agree with all the bad reviews..."
2,Alfonso Cuaron gives us a dark future
2,Mother Yourself and Your Baby
2,Another Dallas Willard book for bible study
2,Whitesnake - 'Greatest Hits' (Geffen)
2,great game
2,Excellent movie
2,A Taste of The Truly Dark Ages
1,do not buy this brand
2,LOVE THESE
2,Sound Spa Projection Clock
1,Disgusting
1,Brackett botched
1,Horrible DVD Transfer
1,Sandals
1,not great
2,One of the funniest movies I have ever seen!!!
1,I need an ending
1,Uh.................................no.
1,Caveat Emptor
2,have fun with it..
1,This is Trash on the market.
2,"The 7"" are great! The small sliders are worthless."
2,Great fun!
1,Not Made For Use
2,Great earphones for motorcycleists
1,Dont Bother.............Wait for it to play on local cable
1,Not for string playing...
2,terrific ABC book
2,Teacher & Engineer
1,Battery gives out
2,VIDEO NOW
1,Stale
1,don't overload it
1,Other reviewers were right!
1,Unwatchable and barely listenable
1,Horrible
1,They phoned it in...
1,cant see what time it is
1,Where's my Hotdog?!?!?!
1,Poor radio reception
1,Disappointing ...
2,Great little doll for toddlers
1,zero play
1,B-Day = bland & boring
2,It is a real find
2,my flatware
2,If You Have to Pick One Book for Your Students to Read.
2,A quality tale of sword & sorcery
1,Sucks if you are expect Fallout. Fun if you like RTS.
2,One of the best modern rock CD's in a long while
1,penthouse forum for teens
2,An experience not to be missed
2,A thoroughly satisfying read!
2,Love Candex!
2,Addictively Readable
2,Loving DDRmax2
1,a dreadful translation of classic work
1,RN175 is junk
2,One hot summer in Louisiana
1,A little disappointment
1,Unreliable with Cyberhome recorder
2,Wringer thee outragous
1,"Not bad, not great...."
2,A very interesting read
1,Don't Be Fooled!!
2,Pam Grier is as Foxy as they come in this classic thriller.
2,Getting to the heart of God
1,"So, who's *really* interested in Onanism?"
1,Buyer beware-- too good to be true
2,Very good for this genre
2,Suberb space saving shoe organizer
2,A Comedic Gem
1,Wish I'd bought something else
2,GOTTA READ
1,It was sooooo boring!!!!!
1,Shrieky should just go away
1,Don't Let this be anyone's first exposure to CSN
2,"My favorite ""Mommy"" book"
2,Great Book
2,THE handbook to have
2,Nice little bag to hold a body and lens
1,A DISAPPOINTING BOOK FOR SURE
2,Hot Stuff
1,Bought 2 and both quickly failed.
1,Warning!
2,Great diapers
1,Nothing like the fun Mario Party games for N64 and Gamecube
2,"Great Book, Great place....."
1,I don't think I read the same book as the rest of you!
1,defective TV from Targer
1,HORRIBLE... HORRIBLE... HORRIBLE
2,Very pleased
2,Alice Tells Her Side
2,"Orando con gozo, no por obligación"
2,A wonderful meeting of two guitar legends
2,"Heavy read, but full of great analysis for modern history buffs"
1,Machine broke as soon as the warranty expired :-(
2,One pretty good dance cd
1,45 to 33 splindle platter
2,For the Grown and Sexy!
1,Wished it could have made more sense.
2,A must have for many homes
1,All about us
2,Keeps the streets clean
2,Awesome Mic Stand
1,poor cable
2,Perfect Replacement for my Drinkwell Platinum Pet Fountain
1,Pulls on OVER your HEAD ...
2,Cool add to your wall
1,a little decieved
2,Great product for a small environmental impact
2,All About Money
2,Solid Pan
2,Clean Fun
1,Excellent!
1,False advertising
1,Poor quality transfer
2,Just what I needed
1,not worth the money at any price
2,Excellent!
1,All 4 books could have been written as 1 book
1,Piece of Junk
1,Pathetic
2,PUn PUn PUNISH IT!!!! HELL YEAH!
2,Legendary
1,DONT BUY THIS!!!
1,A boring read
2,fun and engaging
1,Good product bad battery.
1,Give me prozac!
1,disappointed
1,Very bad product.
1,I am time testing this product
1,left over effects shouldnt make up an entire record!
2,Works Great!
1,"Heard of ""B"" movies...This is a ""O"" movie"
1,"Asimple REVIEW of us, ROger Ling, RAymond Gao,& Jonathan Bau"
1,Do not buy this CD!! It is not Vangelis!!!
2,Very happy with this purchase!
1,GARBAGE
2,"Madeleine Peyroux, WHO??????"
1,Worst Golf Book Ever?
1,BLINKING LIGHTS OF DEATH
2,Bed digging tool available
1,Word of Caution
2,Have a Little Fun
2,Bellisima version
1,Weak
1,hate it more then anything
1,Excess Sound? Is this right?
1,Think twice
1,You better own a Hack Saw
1,hover disc
2,Gripping novel
2,Great for the truck lover!
2,"Good price, good sound, easy to use"
2,review.
2,Great playset and great value
2,High Quality Pirate-Lovers Puzzle!
1,Hard to hold
1,Forced
2,Ótimo livro. Merece ser lido.
2,One of Kirk's early releases!
1,Marley
1,Stick with metal pans!
1,this show is a test in patience of obnoxious people
1,Poor Production -- Fair Performance
1,16 mm silent movie
1,Would It Ever End
1,The questions were written by monkeys on computers or more likely computers without monkeys
2,Vice City will be the best game in 2002\2003
1,Too many opinions not enough facts!
1,Meh.
2,The Wandering Taoist a Facinating True Tale
1,Save Your Money
2,Brilliant Work
2,Beats of the heart
2,Family Shoes
2,Great product!
1,Industrial??
2,Another great book by Boynton
1,It's not what you may think.
1,Sounds awful - Poor support
2,Excellent documentary
2,Cellular Antenna
2,Learning to forgive
2,The Best Star Trek Movie...parody or otherwise...ever made!
2,three time buyer
1,Too much theory and no application
1,What SAP BW version ???
1,What is poetry?
2,REM's third masterpiece
2,Incredible sound
1,Ivins should get a life
1,United we stand?
1,No whine should be released before its time
2,Amazing debut
2,Sounds great if you like bass.
2,good bibs
1,Not viewable
1,Bullcrap
2,Glad to finally see a Pakistani women speak out
1,the lining peeled!
2,"Beware, this is not ""Godfather Trilogy"""
1,Have Not Received Yet.
2,How good times were being family
1,Should have been titled Nosedive
2,The Pleasure King's Bride by Emma Darcy (Large Print Harlequin)
2,Steamer - Wall Paper Removal
2,extender for curtain rods
2,My best hat ever
2,Deep view of what counts for run and growing an organization
2,From Science to Peer Counseling
2,As expected
2,Colorific 24 Colored Pencils
1,Very difficult and hard-to-follow approach
2,Should have recieved a Nobel
2,avanti christmas cards are the best!
1,Disappointed in the quality and strength
1,The case for reason
1,a bit too broad
2,The Lamb's Supper; The Mass as Heaven on Earth
2,Finally re-released
1,Rip off
1,Great Booklet...slow service
1,Nothing special
1,a piece of trash
1,Building Heidi
1,My 13 month opened them instantly
1,WASTE OF MONEY
2,Water for Elephants
2,Call the family to dinner
2,"The ""Area 51"" series remains strong"
2,Gluten Free Candy
1,Disappointed
2,some quality tunes
1,"""All that glitters is not gold."""
1,Junk packaging
1,Harmful
2,Swell!
1,Tuck Everlasting
1,Israeli Jewish Dance
2,Great storage bag
2,Nice quality; worth the money
2,Great CD Player
1,Not made well
1,why?
2,Pure f***in' metal
2,Meets my needs
2,The Blood Begins To Grow On You.
1,Same old stuff with a new cover
1,Underwhelming
2,An important book!
1,Disapointed with Sound Quality
2,Save room on your shelf for Save The Last Dance!
1,Not a good design
2,"Nice, safe, comfy car seat."
2,- A great dictionary I've nerver seen...
2,comfortable and cheap
1,Not Convincing
1,Bad Quality - Shame on you Sirius
1,A step backwards
1,Awful! Don't waste your money on this for infants
1,Not at all impressed
2,"Laibach's ""hits"" live"
2,Cd case
1,glo-paint fluorescent blue.
2,Best Baby Born dressup costume!
1,MOMENTS of fun!!!
1,Sony Let Down
2,Good buy
2,fantastico
1,As disappointing as the Product (Websphere)
1,Not Happy
1,Doesn't work!
1,Get ready to replace it!
2,"Cute, action packed, shows"
2,Awesome
2,Good if you do a lot of computer-based outlining
1,DS lite charger
2,Love It!
1,"beware, not mike patton/dan automator Lovage"
2,Good
2,The best way to learn blues harp
2,Love mysteries
1,Very Ordinary
2,Superlative ambient compilation
2,almost realistic/ no car chases or explosions
1,Pjur Eros GEL Bodyglide
2,THIS GAME IS IT!!!
1,Not Convincingly Invincible
1,Why did they cast Bill Murray?
