class,review_text
2,"While not much is written about the Boxer Rebellion, Diana Preston, does a great job. I could not put this down, it reads like a novel. Preston vividly re counts the events leading up to the rebellion, as well as the conflict itself. The discription of the charaters in the same detailed light (the sexual habits of the players is also mentioned, but not over done)places a face on the conflict. It also descibes the awkward union of the world powers that sent troops to rescue the legations in Peking. What I noted the most is that in some aspects China has changed very little. The maps and pictures help with the story. I liked this book very much, and being an avid history reader I could not tell if this was a novel or a history book. If you are looking for a great read that covers this period (in which so few books are written) buy Preston's book."
1,"The out of the box MP 2003 templates for print and web publishing are excellent and easy enough to manage but trying to get them online is an absoltue nightmare. Files become corrupted easily and directories get run through the grinder, so by the time you're ready to bring up your web site online it's become an FTP rat's nest. I've worked w/ 3 major host services and none of us could get an MP2003 generated site to work w/ all indexes, images and text attached and/or pointed in the right direction. I would go w/ the free Nvu.com software for a more stable web site creation. Code layout is easier to follow."
2,This is a book for anyone who truly enjoys the art of children's poetry! I just found this today at a local used bookshop and fell in love with it as soon as I opened it. It will be a cherished volume in my growing collection of poetry. It is a collection of pure classics by the masters of verse and rhyme. I just wish I had owned this book when my children were young and at home!
2,"This is another masterpiece of Hans Zimmer. One of the reasons I loved the Last Samurai movie was the soundtrack. Indeed, it reflected what the story was about. It truly reflected the Japanese culture & marshal arts.My favorites themes are: A Way Of Life, Spectres In The Fog, Taken, A Hard Teacher, To Know My Enemy, Idyll's End, Safe Passage, Ronin, Red Warrior, The Way Of The Sword, A Small Measure Of Peace.Oops! Did I just mention ALL the themes? It seems so! Then all of them must have been awesome, and this means (Don't read all the reviews. Go & BUY THE SOUNDTRACK NOW!)Applaud to our German music Composer Mr. Zimmer!"
2,"This combination CD and phrasebook has been excellent in helping me with both my research for my third novel and for preparing to visit Morocco. Moroccan Arabic is not the same as the Arabic spoken in other countries and this product not only lets me put authenticity in my dialogue, it ALSO lets me communicate to shopkeepers and others while touring Morocco. I highly recommend it to anyone planning a trip to this beautiful country.Suzanne Arruda - Author of Mark of the Lion, and Stalking Death"
1,"The High Points: AlphabeticalThe Low Points: Articles, Factual Information, Overly Brief Synopsis of People... etc.Avoid unless you like reading the ""cliff notes"" of serial killers"
2,"My borther Daniel is a masseuse in NY. One of his clients is Mr. Terrence McNally. When the book was being written, Mr. McNally did my brother and my family a great honor - the central characters' last name was to be Lukowski. What can I say but thanks !"
1,"I purshased these to use with my iPod when out running. Quality is very good but there are some concerns:1: Moto states that battery will drain more quickly in time to the point where it must be replaced --However it is not possible to replace the battery so once it goes bad you must discard the 80$ ear phones(!)2.) Battery life is quite poor so expect to recharge them a couple of times daily.3.) If like me you are looking to have them when exercising, understand that they are very sensitive to interference and will often cut the sound. I have my iPod attached to my upper arm just less than a feet from my ears and I still have problems. Having it in your jeans pockets or even in your chest pocket is a big no-no: You either hold it in your hand or you put it on your upper arm: obviously this does not deliver the benefits of going cordless..."
2,I was very pleased with this product. The skewers are durable and easy to clean. Overall a great buy.
2,This is a nice book for morning and evening prayers. It has a beautiful cover and is the right size to pit into a purse or bag to take on the go. This is a perfect book to start praying the Liturgy Of The Hours.
2,"songs are not written like this anymore. we all should be thankfull that our old snap, crackle and pop albums are being released as cd's now.lm"
1,"The author writes well, but nothing he says is so profound or comforting. In fact, at times it felt kind of insincere and glib, like he was using other people's sorrows (including his own family's) to make himself appear deep. I agree with the comment's of the other reviewer: Naomi Levy's To Begin Again is by far more helpful, the only one that belongs in the class of When Bad Things Happen To Good People."
1,"DeLonghi DCH1030 Ceramic HeaterDON""T BUY THIS SPACE HEATER !!! UNLESS, you don't mind partial outages throughout your house. It's just too STRONG and it tripped over and over parts of our home - EEHHHHH EVEN THE TVs and the PC!!! Finally had to call an electricn, and we all know how expensive THEY can be. But, he asked if we had AHY new electirical things in the house. We didn't even THINK of the space heater. The electican just happened to see the space heater on the floor by my PC (COOL AREA< HERE) and immediately picked it up. Sure enough, it was a 1500W. IT WAS THE CULPRIT !! I have run other 1500W space heaters, but there is JUST SOMETHING about this little lemon. Cost us $89 for the electrican (cheap around here). You are warned !!!!"
1,"I am a big fan of some of Revell's other work, and I usually enjoy the comic/superhero scores, so I paid close attention to the music while watching the movie. Alongside the film, I thought the score provided a pretty good complement for several key scenes, but unfortunately, I didn't find this score very entertaining after listening to it by itself. Most of the tracks seem uninspired and a little slow, and the overall score seems to be so overwhelmed with dark, brooding, mysterious qualities that it never really identifies the essence of the Daredevil character or a good movie theme. I was disappointed."
2,"Many details in book which should be combined with""First Manassas Battlefield Map Study"" by Edwin C Bearsson sale at Amazon for $30 (map study book and maps).Combine the two and you've got a real winner!"
2,"What a great read! Full Circle is the story of how friends and families intertwine as decades pass. The characters are so real and are all flawed in some way, such as in life. I am a big fan of Ms. Young's books and feel this is her best effort to date. Her novels are thought provoking and so complex. Don't start this one at bed time!"
2,The Rebel follows Melinda Metz's wonderful ability to keep the reader hooked. One problem is solved and another begins for the teens.The Rebel is my personal favorite thus far in the series. The eerie presence of the collective consciousness and the struggle between environment versus biological ties were truly mastered.I would reccomend this series to anyone from 12-60. It definitely leaves you wanting more!
1,"I bought this game for my 5 year old son to play on his DS Lite. He had gotten Super Mario Bros. and loved it so I thought Mario Kart would be the next logical game in the succession. It is a little harder for him to play so for those who are novices with the DS or very young like he is, expect some frustration. But for those who have a good handle on game play it falls in line with the rest of the classic Super Mario games."
2,"Who would have guessed that Leon Redbone, that fedora and dark glasses-wearing blues anachronism, was capable of producing such a sweet and charming Christmas album? Not I, that's for sure. Yet, here it is, making a fine addition to anyone's holiday music collection.Ably assisted by Dr. John, Terry Waldo and a trio of lovely violins, Leon handles the usual group of standards, a couple of rarities and one new original (That Old Christmas Moon) with style and aplomb. His White Christmas, with those violins gently wafting in the background, is enough to melt the iciest of hearts and the Dr. John duet on Frosty the Snowman is fun and marvelously infectious.At under thirty minutes in length, the disc may feel a bit sparse, but it never overstays it's welcome and offers a nice alternative to the overproduced, mass marketed product that poses as Christmas music these days."
1,"These are smaller than before and are now tapered, which makes them dome shaped and creates annoying bulges in your bra cup that will show through your shirt. The old Lansinoh pads were perfection for us bigger-breasted women, but now, with the smaller size, they are just as inferior as every other brand!"
2,"Enrique's Journey is a powerful story of the human cost of economic disparity in the Americas and our failure to find a humane way to accommodate the many workers who come to the U.S. to take jobs most Americans will not accept. Nazario's writing is superb and well-paced, gripping the reader and introducing a world that is unknown to most of us, yet whose effects are all around us."
2,"if you love the chants, these are the complete bottom line for male voices and that deep real spirtual experience"
1,"I have to agree with another review that didn't like the heroine. She was spoilt, selfish, too self absorbed, a smoker ....need i go on? I love Nora Roberts, but this book was just too slow i was skipping pages! Thus the 2 stars!Like another review, i am so looking forward to reading Kate's and Laura's stories b'se they seem much more interesting. Ugh! This Margo! So stuck up!"
1,I did not think the supersmile was worth the money. It did not get my teeth cleaned as I followed the directions recommended.
1,"Unless you like systems that get damaged right out of the box, due to dead pixels, don't buy this thing. it is just too fragile to be a useful gaming system. Either buy something more durable, like the DS, or save your money for the next gen consoles. Pick either ps3, xbox360, or N Revolution. Your choice, of course, just make sure you stay away from the PSP. It's not worth the $$$"
2,"Worked great, great price. Enables my boys( ages 11 & 7) to take a shower by themselves without making water go everywhere chasing down the escaped showerhead."
1,"This tub is what I thought would be perfect for my baby. I sure wish I had read the reviews on this product before I bought it! I have the same problem with this tub leaking all over the place! The drain plug on mine is SUPER hard to snap into place as well as pushing the buttons down to get the tub to go into its smaller position! I still haven't been able to get it into that position yet! I'm going to try and take it back, as I have already bought a new one!"
2,"Came as promised, but the key light was burned out. No big deal, the product rocks."
1,"Just as other purchasers have warned, this chip failed after taking about 250 pictures while I was on vacation. The chip froze up and the camera won't function with it, nor can I download the pictures. There is a manufacturer's flaw in this product. I have now purchased another brand. Don't use this chip for a camera or you will lose your pictures. I wish that I could get a refund rather than a replacement chip on the warranty."
1,Respecting Oracle Press I bought this book... :( NEVER AGAIN! Why don't they clearly write on the outside that this is a word-for-word copy of the DBA 8i Certification Guide? Makes you realize the pitfalls of online buying!!!
1,"Although at first glance this strainer appears well-made, the handle broke off the first time I used it. I was using it to make gravy and don't think I put undue strain on it. Amazon was great and there was no problem returning it for a full refund with prepaid return shipping, but I will be looking for a better made strainer. This food strainer is not worth the price."
1,"After about six months the phone would no longer charge. After calling customer service I was instructed to mail it to them in a very specific way that cost me about twelve dollars. I was told 14 days was the longest they would keep the phone. After 21 days and countless hours on the phone during which time they could never find the phone they overnighted me back the phone untouched in a flimsy paper mailer and told me that it had water damage. The phone had no water damage, they simply never entered the phone in their system, did not want to do what they were supposed to do and overnighted it back to me to save themselves. Please think long and hard before purchasing anything from Motorola they will not support their warranty."
2,"I had no intention of seeing the movie because I could not stand the bubble-gum music of Abba. The video store was out of everything I wanted to see so I rented the movie so I could see what my coworkers were raving about. Well, it did have Streep and I'd watch Brosnan peel potatoes all day...he is yummy! What I didn't count on was how good the movie was and I'm very distressed to see that I find myself singing the songs and even buying the DVD. Abba? Julie Waters' version of ""Take a chance"" is wonderful and Streep's ""Winner takes it all"" made me cry. Granted, Brosnan's singing is a tad painful but it was passable. I loved the movie and now I'm a fan. I wish they had a package that had both the DVD and the CD soundtrack of the movie bundled."
1,"Don't waste your money. This book was useless. I just returned from my trip on Route 66 and never once found this book useful. I suggest Route 66 Adventure Handbook, by Knowles and highly recommend Traveling Route 66, by Freeth. The last a great traveling companion helps figure out mileage and what to see."
2,I just keep buying these cd's for the wife she really seems to love them. You should all try this one out.
2,"This is much better built than the adapter that came with my BP200. I was able to fix the original adapter though, so I plan on using the new one outside of my house. The new version doesn't get as warm as the old one after several hours of use. Using thicker wire helps with that.I found it at a great price, so I opted for the expedited delivery to get the thing on my hands quickly."
2,"I ordered this to protect me from the sun at the beach. I had no idea what a ""rash guard"" was. I usually wear size M or L in a polo. I wanted tee shirt fit, so at vendor's suggestion I ordered XXL. Quality is great, but with a 39 inch gut this isn't for me; I'll return it. Wife says I look like a stuffed sausage. Wish I had great abs!"
1,"I was disappointed with this rooibus tea, which is ordinarily one of my favorite teas. It doesn't compare with Numi or Twinings rooibus for fresh flavor, color and aroma. A poor substitute for those brands."
2,This movie gives you good insight into how close the US and USSR came to nuclear war. I'm sure glad that cooler heads prevailed.
2,"I don't understand all the down voting from fans just because it's not the ""super duper uber version with so many extras you'll crap your pants!"" GROW UP! Wait on the version you want, whining and down voting a great Bluray set achieves nothing. Anyway, this collection is ALL of the films on Bluray with a few extra features that have been available for a while. So if you're like me and never got around to buying the films on DVD and could care less about all the bells and whistles, this is a GREAT collection and well worth the money.Edit:Well this WAS well worth the money when it was $69.99 now that it's $112.39 it's not."
2,"I previewed my dvd saturday night. This morning, after feeding my 11 week old at 5 am, I started the workout. Shellie does a great job at a good pace. This post-natal incorporates Taebo moves at a pace suitable for new mommies. I tried doing my old Taebo tapes but found it hard to keep up. This video is a great start to getting back to Taebo advance status. Thanks Shellie! See you again in the morning."
1,"I chose this rating because, the box was open and the bags appeared to be used. I will not order this product again."
2,"After hearing some audio of Dr. Russell, I purchased his book and found it very relative to Bible endeavors. Without criticizing or comparing him to others, I found it very insightful. If you read this Mr. Russell, thanks-Mike"
1,"I loved their other things, but Althalus seems like it was written by a 14 year old boy. Every single thing out of the characters mouth is supposed to be witty, funny, clever, or outright hilarious... which equals a character that is as deep as the page it's written on. I honestly don't know how anyone takes this seriously! Its just not that funny, and tries way too hard. The only reason it was even published as a book suitable for grownups is because the Eddings' have a great track record, and their name sells, even if the plot is about as complicated as ""Bad god wants to unmake the world and good god wants to stop him"" can get. Every person they come across is either helpful and friendly and clever, or wicked and clever. And it's immediately obvious which is which. I mean, really people? Terry put it so eloquently... Wizards First Rule, you know."
1,Cheked on Amazon and it looks ok. Ordered and received promtly. Opened it up and found out it is too small for adult use.
1,"What a pity that so talented a writer reaches so deep into his imagination and comes up with only crumbs of credible narrative. Technologically and militarily,it's typical,excellent Joe Buff,but the scenario is in every sense unbelievable and, thus, the reader tends to become increasingly cynical as the story develops.6 million casualties in a month in this war, with huge physical damage to all combatant countries and our heroes are reacting and responding to it all as if it were just another PacFleet exercise. Give us a break,Joe."
1,"When I received this product and loaded the software, it was immediately apparent that it was user unfriendly on my Vista Home 32 bit system. Even after I went to D-Link's web site and was able to find drivers for the unit, it slowed the entire system and began displaying cannot find file windows every time I booted up my computer. Now I have to return the device to the Amazon Retailer at my expense. I bought a D-link draft n interface for my computer in hopes that it would be transformed into one that matches the currently good performance of my d-link draft n 655 router. Save your money until you can get a computer with a draft n card. At least then you probably wont notice that you are only getting .g speed."
2,"It was a great movie to buy my new Girlfriend. I like the cute romance, and is a good coming out to mom/family story. I'd watch it again, only with new ppl that havent seen it. Not a Favorite of all times movie, but a pretty good womyns movie."
2,A thrilling book and an inspiration to all those who love competition and always try to improve themselves not only in sports but in every aspect of their lives.
1,"The graphics are great but the limited track and repetitive route lead to a quick loss in interest. The great graphics and driving ""feeling"" are soon not enough to hold your interest. Also, there is no option to steer with either the thumb controller or the arrow pad, you are forced to the thumb controller which I do not prefer."
1,I find it oddly interesting that the five star reviews of this very expensive book all sound like they were done by the same person....or it is just me?
2,"My local ""blue and yellow"" big name electronics store (which I do love) does alright on most pricing, but fails miserably when it comes to high-end a/v cables. Best off-brand PS3 HDMI cable price? $[...]. Yikes! This $[...] cable is plenty long enough and delivers excellent video performance for both gaming and blu-ray movies. I'm using it with the Oppo Digital HM-31 HDMI switch as my TV has only one HDMI input. Highly recommend both products (available right here on Amazon!)"
2,"I have all three seasons of ""Deadwood"" and love it. This is a very well written and acted series. I wish HBO would have finished the series. It was left hanging at the end of the third season. Still, well worth watching."
1,"This device is too complicated. After you set the alarm, you have to remember that this is not the same as turning the alarm on, so you have to hit another button. You also have to remember that hitting the OFF/RESET button on the top of the clock just turns off the alarm for that day. The alarm will go off the next morning unless you hit another button. This is especially annoying when the alarm goes off at 6 AM on a Saturday. The nature sounds are repetitive and irritating with the possible exception of the ocean. The mechanism of the CD player is noisy, making it difficult to listen to low-level music to sleep by. While the display is backlit, the controls are not, so it's difficult to turn things on and off in the dark. I would not buy another one of these."
1,"Terrible from start to... middle. I only lasted about 40 minutes before giving up in absolute disgust.Culturally ignorant, CHEAP, vapid, crass and utterly declasse. This ""film"" transforms what was once an audaciously intelligent and sassy series into a revolting caricature. So bad is it that I won't squander precious words in attempting to describe the repellant nature of it all.In short....UGH!"
1,"I bought this product as a deal of the day 3 weeks ago,I just got around to trying it today,and I was very disappointed to find out it does'nt work,its loud and it does'nt vacuum at all.I hope I have good luck with customer service. I""ll call monday.I think I""ll stick to buying appliances locally."
2,It is very durable and compact. Could have been just a little bit bigger to store extra battery and memory card.
1,"So, appears the PC gestapo has learned to write and publish books. What we have here is someones interpertation of what Punk is to them. In No way is any of the music a focal point, inwhich it takes a back seat to a political message which only ends with ones personal gain. This book should of stayed a 6 page pamplet you quickly throw away ( one like christian organizations hand out, hint hint). This book does no good for punk and people who consider is a main part of there lives."
1,"Ive been waiting forever for Twisted Metal so i was looing for some kind of racing shoot'em up destruction... you know what im saying, but this game bites. No wonder i had never heard of it. Dont waste your time, as im not wasting another minute writing this review."
1,"Could not read past the first five pages. How Tolle attempted to include Jesus in his introduction as though that somehow made his teachings endorsed by His word, was obvious to any Christian who knows the Bible, this was outright slander. Clear to me this was a New Wave book and this was the beginning of the end of my trust in Oprah's judgement. I'm broken hearted because this women chose to believe a concept that makes her equal to God instead of taking the time to learn what her upbringing tried to tell her; the Bible is where she can find all her answers. Oprah proclaims to be so openminded yet she took one phrase from the Bible out of context, and neglected to do the research on her reaction, as she so dearly proclaims is neccessary to any endorsement she gives."
2,Had this CD years ago and it was stolen from my car along with all other music. The CCM being played today can't hold a candle to this beautiful musical offering. Clay Crosse is amazing.
1,"I am very dissapointed. The glass feeder broke when I was attaching it to the plastic base, after pouring the liquid. The neck of the glass bottle broke and it wasn't because of a tight turn, since never finishing turning it. It might have been a defective issue. Since I don't want to pay for returning fees, I just lost my money with this item!"
2,If you enjoy learning about the characters of the Old West you'll really enjoy this book! I'd recommend keeping this book for future generations.
1,I paid 29.99 and it broke as I showed it to my daughter on Christmas. The draw bridge does not stay closed and does not open if you push the lever. The piece that snaps on the front so the pony can walk over the water does not stay on. The castle is suppose to snap and fold shut... mine does not. And the crown is junk! It does not stay together. My stickers are falling off after 2 days. I will try glue for the stickers. And I really feel that toysrus should refund my money.
2,"wonderful movie very authentic as for the clothing and settings, was great at keeping my attention. actors were superb! recommend it to anyone that is into period movies."
2,A DVD that every woman should watch - high school and older. This can be used by book clubs in conjunction with the book. Excellent film.
1,"This is possibly the worst self-cleaning litter box I have ever seen. I decided to buy one about 4 years ago and 2 weeks after getting it, the rake started getting stuck and making this loud clicking noise. After a few weeks, I got fed up with it and decided to give it go, and bought a new one. It did the exact same thing. I now own a Litter Maid, and so far it has worked out."
2,"I'm a sucker for the tales with a twist (think Wicked -- made me feel sorry for the Wicked Witch). I had watched a show mid-season and thought it was ""okay"" - but my son insisted that I watch from the pilot all the way through the first season. What a difference! Clever writing, to get all of these characters intertwined in a cohesive storyline. And the costumes are incredible!! I'd watch this show just to see the costumes. The person who makes them is a genius -- wish I could find a place to buy one for a costume party (which I would throw JUST to wear the costume). Can't wait until Season Two is out."
2,"This book of poetry covers some very heavy stuff. At the same time, the subject matters cover a lot of matters that I've wanted to read for a while.I suggest that you do not read his poetry silently. Say it all out loud! They're meant to be read loud and proud. Trust me, that's worth it."
1,"This band's awesome ""Breakbeat Science Excercise 6"" is what encouraged me to buy this disc. I love the artwork on the disc itself. However, I live continous DnB mixes, and this had segregated songs. You can tell the duo is trying to branch into new genres, or at least not do just typical DnB. However, since I was in a pure DnB mood with them, I was disappointed. Don't get me wrong: I don't hate this disc. It just wasn't heavenly like J. Magik or ""Safari"" by Bad Company or many Diesel Boy discs. There are some tracks that keep it true to the genre. Those were great."
1,I can't put it into words to describe this record. The guitar lines need a little more something and mixed too loud. Mabey we could hear the rest of the band instead of somebodys ego.
1,"My 11-year-old son brought this book home from the grade school library and, upon first glance, I thought it would be an interesting book. However, as I flipped through the book and saw the newspaper clippings the other reviewers mentioned, I was somewhat startled. Some of them read: ""Japan Admits WWII Use of Sex Slaves,"" ""War Protester Burns Herself To Death Here,"" and ""Newborn Found in Dumpster."" There were several other, similar articles. This may be fine for young adults of junior high age or higher, but not for grade school kids."
1,Another terrible release. Nothing new from the other DVDs. All the moves are similar to what she has already taught.
2,"This gives a slightly better signal than my old rabbit ears. I give it 5 stars because the signal is maintained consistently with all the channels I receive. I can't get any more channels than I got before, but the same channels all have a stronger signal and I don't need to do any adjusting if I change the channel. I recommend this for those who do not have high expectations but just want a slightly better signal. For the price it is definitely worth it.ADDITION: It turns out that I do get one channel that I didn't get before."
1,"Not gonna go into detail. If you're interested in this, you most likely are familiar with the show. The show itself is great, but the cuts they've made are very frustrating for fans. I just wanted to lend my voice to this."
1,"I bought one of these ""BonJour"" models thinking I was getting the same thing as those I used while studying in Italy. The quality of these asian knockoffs are nowhere near that of the real thing (aside from the rough manufacture, the steam pressure valve broke on mine after three uses, making it useless.)- Check out the Bialetti models on other Amazon pages. World Market also carries a real Italian model from another maker."
1,"Having listened to all the various 'incarnations' of the band, and appreciated all they've offered over the years, I'm at loss with this one. The songs feel incomplete, and at times, amateurish. While never a lyrical dynamo, Holmes lyrics on this album are probably some of his least creative, or imaginative yet. Not to mention repetitive and bordering on adolescent angst.One is left feeling like there was no real effort put forth, no feeling, or emotion on this album. The only thing this release has served to do is make me appreciate their other albums even more. The band is capable of much more than this.If the goal was to wallow in mediocrity, like so many of their imitators, congratulations. Mission accomplished."
2,"Watch is great!, very simple to set up and very functional! A must buy! And i was never a fan of watches until i bought this one!"
2,"This watch is cute and easy to use. Have dropped and banged it and still works great. Swim, ride and run with it. Wish i could find different bands to have variety."
1,"...after only a single recommended dose. Why? I experienced hypertension, dizziness, intense sweating, and other transient shock symptoms. In addition, the type on the label is VERY small, even under rather ordinary magnification. QED: check the ingredients and proceed with care and caution. If at all."
2,"First off, let me say that I don't usually read romance novels and this is the first of Katie MacAlister's books that I have read. I enjoyed it. The main character was relatable and I loved the opening scene in which Joy and her bff were having their fortunes told by their Wiccan friend. It seems that MacAlister has done her research; the parts dealing with occult seemed accurate. The love scenes were *hot* and MacAlister kept em coming (no pun intended) every 75 pages or so. Now, I do think this book fits the bill but we must keep in mind that it is a ROMANCE NOVEL. Sure, some of the dialogue was a bit cheesy at times, but most of it was witty and well written. Sure, the main character meets her soul mate the very first day of her vacation (don't we all?) Great American literature it is not but for what it is, it's well done and I'd read it again. (Actually, certain parts have already been reread--wink, wink!) ;) Buy it, you won't regret it."
1,"Ok, before I become a noob in the eyes of many, this is MY opinion. Listen or do not. My first experience seemed hopeful. I got into a good group, and played for a bit. Then things went down hill. The quests (missions in SGW) are boring and repetitive, and don't think about your levels. You will be tricked into attacking nests full of powerful beasts, or sent to deliver a package halfway across a planet. Most people hang out in taverns, bars, and cantinas, and do not actually embark on missions. Furthermore, it takes a excruciatingly long time to actually gain new skills or master a class, and most of the classes are unfun (a entertainer's sole job is to hit a key which caused him/her to dance on screen), or require endless monster kills to gain a single small bonus. For a newbie, this game is hell. For a casual gamer, it is frustrating. For a powergamer, it can be occasionally rewarding"
1,"This book is a sure snooze-fest. Luckily for me I did not have to read the entire book for my undergrad art history photo class. We read selected chapters of the book.They writing was horrible. Many parts were unclear. I had to reread what I read over and over. I can't stand this style of writing. Barthes attempts to come off as interesting and intelligent. Instead, he comes off as boring and pretentious.Skip this book... try something else."
